#
#   VizieR Astronomical Server: vizier.cfa.harvard.edu	2009-03-17T02:04:37
#   (replaces the 'Astrores' format originally described at
#    http://vizier.u-strasbg.fr/doc/astrores.htx)
#   In case of problem, please report to:	question@simbad.u-strasbg.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	-ref=VOTx26924	
#INFO	-out.max=50000	

#RESOURCE=yCat_16490759
#Name: J/ApJ/649/759
#Title: The bubbling galactic disk (Churchwell+, 2006)
#Coosys	G:	galactic
#Table	J_ApJ_649_759_bubbles:
#Name: J/ApJ/649/759/bubbles
#Title: Bubble parameters {\em(tables 2 and 3 of paper)}
#Column	_RAJ2000	(F7.3)	Right ascension (FK5) Equinox=J2000. (computed by VizieR, not part of the original data)	[ucd=pos.eq.ra;meta.main]
#Column	_DEJ2000	(F7.3)	Declination (FK5) Equinox=J2000. (computed by VizieR, not part of the original data)	[ucd=pos.eq.dec;meta.main]
#Column	[CPA2006]	(A4)	Catalog number (Nnnn or Snnn)	[ucd=meta.id;meta.main]
#Column	GLON	(F7.3)	Galactic longitude of bubble center	[ucd=pos.galactic.lon]
#Column	GLAT	(F6.3)	Galactic latitude of bubble center	[ucd=pos.galactic.lat]
#Column	Rin	(F5.2)	Semimajor axis of inner ellipse	[ucd=phys.angSize;src]
#Column	rin	(F5.2)	Semiminor axis of inner ellipse	[ucd=phys.angSize.sminAxis]
#Column	Rout	(F5.2)	Semimajor axis of outer ellipse	[ucd=phys.angSize;src]
#Column	rout	(F5.2)	Semiminor axis of outer ellipse	[ucd=phys.angSize.sminAxis]
#Column	Ecc	(F5.2)	Eccentricity of the ellipse (1)	[ucd=src.orbital.eccentricity]
#Column	<R>	(F5.2)	Average radius of bubble	[ucd=phys.angSize;stat.mean]
#Column	<T>	(F5.2)	Average thickness of bubble	[ucd=src.morph.param]
#Column	MFlags	(a12)	Morphology flags (2)	[ucd=src.morph.param]
_RAJ2000;_DEJ2000;[CPA2006];GLON;GLAT;Rin;rin;Rout;rout;Ecc;<R>;<T>;MFlags
deg;deg;;deg;deg;arcmin;arcmin;arcmin;arcmin;;arcmin;arcmin;
-------;-------;----;-------;------;-----;-----;-----;-----;-----;-----;-----;------------
272.344;-20.236;N1  ;010.231;-0.305; 0.93; 0.82; 1.16; 1.02; 0.47; 0.98; 0.21;C
272.761;-19.863;N2  ;010.747;-0.468; 6.96; 5.76; 8.31; 6.89; 0.56; 6.95; 1.23;B
272.382;-18.725;N3  ;011.570;+0.395; 0.99; 0.48; 1.45; 0.70; 0.87; 0.85; 0.32;C
272.220;-18.273;N4  ;011.892;+0.748; 1.95; 1.65; 2.42; 2.05; 0.53; 2.01; 0.44;C
274.246;-18.670;N5  ;012.465;-1.128; 3.71; 2.29; 4.55; 2.81; 0.79; 3.24; 0.66;CC
273.788;-18.382;N6  ;012.512;-0.609; 5.94; 4.58; 7.33; 5.65; 0.64; 5.83; 1.22;B
273.517;-17.929;N7  ;012.787;-0.167; 0.47; 0.37; 0.57; 0.46; 0.60; 0.46; 0.09;C
273.660;-17.982;N8  ;012.805;-0.312; 0.17; 0.17; 0.26; 0.26; 0.00; 0.21; 0.08;C
273.458;-17.781;N9  ;012.890;-0.046; 0.59; 0.42; 0.75; 0.53; 0.71; 0.56; 0.13;B
273.529;-17.478;N10 ;013.188;+0.039; 1.41; 0.84; 1.75; 1.04; 0.80; 1.22; 0.26;C,CC,BP
273.504;-17.431;N11 ;013.218;+0.082; 1.35; 0.97; 1.77; 1.27; 0.70; 1.32; 0.35;C,BP
273.848;-17.030;N12 ;013.727;-0.015; 4.48; 3.88; 5.44; 4.71; 0.50; 4.61; 0.89;C
273.933;-16.878;N13 ;013.900;-0.014; 0.57; 0.33; 0.73; 0.42; 0.81; 0.49; 0.12;B
274.095;-16.846;N14 ;014.002;-0.135; 1.30; 0.82; 1.77; 1.12; 0.77; 1.22; 0.38;C,CC
275.031;-16.184;N15 ;015.010;-0.611; 1.57; 1.03; 2.13; 1.40; 0.75; 1.50; 0.46;C
274.423;-15.862;N16 ;015.017;+0.056; 2.42; 1.95; 3.12; 2.51; 0.59; 2.48; 0.63;B,MB
274.414;-15.855;N17 ;015.019;+0.067; 0.42; 0.31; 0.59; 0.43; 0.68; 0.43; 0.14;B,m(N16)
275.621;-14.596;N18 ;016.679;-0.366; 6.61; 6.20; 8.36; 7.84; 0.35; 7.25; 1.70;C
274.621;-13.626;N19 ;017.077;+0.946; 3.91; 3.56; 5.42; 4.94; 0.41; 4.45; 1.44;C
276.511;-13.652;N20 ;017.917;-0.687; 1.13; 0.85; 1.45; 1.08; 0.66; 1.12; 0.27;C
276.377;-13.275;N21 ;018.190;-0.396; 2.30; 1.59; 2.89; 2.00; 0.72; 2.16; 0.50;B
276.325;-13.175;N22 ;018.254;-0.305; 1.71; 1.27; 2.21; 1.64; 0.67; 1.69; 0.43;C
276.467;-12.768;N23 ;018.679;-0.237; 0.39; 0.36; 0.54; 0.50; 0.39; 0.45; 0.14;B
276.701;-12.525;N24 ;019.000;-0.326; 7.00; 6.16; 9.97; 8.78; 0.47; 7.96; 2.79;
276.821;-12.014;N25 ;019.507;-0.191; 0.83; 0.54; 1.04; 0.67; 0.76; 0.75; 0.17;B
276.732;-11.878;N26 ;019.587;-0.051; 0.50; 0.39; 0.68; 0.53; 0.63; 0.52; 0.16;B
276.779;-11.645;N27 ;019.814;+0.017; 1.06; 0.88; 1.31; 1.09; 0.56; 1.08; 0.22;B
277.645;-10.356;N28 ;021.351;-0.137; 0.48; 0.42; 0.67; 0.60; 0.45; 0.54; 0.18;C
277.819;-08.523;N29 ;023.055;+0.559; 2.82; 1.90; 3.80; 2.56; 0.74; 2.72; 0.81;C,m(N29)
277.842;-08.467;N30 ;023.115;+0.564; 0.99; 0.82; 1.37; 1.13; 0.57; 1.07; 0.34;C,MB
278.600;-08.037;N31 ;023.843;+0.097; 0.71; 0.55; 0.96; 0.74; 0.63; 0.74; 0.21;C
278.653;-07.995;N32 ;023.905;+0.070; 0.37; 0.34; 0.51; 0.47; 0.42; 0.42; 0.14;B
278.900;-07.772;N33 ;024.215;-0.044; 0.39; 0.34; 0.51; 0.45; 0.45; 0.42; 0.12;B
279.050;-07.759;N34 ;024.295;-0.170; 1.07; 0.86; 1.37; 1.10; 0.60; 1.09; 0.27;C
278.783;-07.376;N35 ;024.513;+0.241; 3.64; 2.14; 4.86; 2.85; 0.81; 3.26; 0.93;C
279.068;-07.158;N36 ;024.837;+0.090; 2.93; 1.94; 4.00; 2.65; 0.75; 2.82; 0.87;B
279.097;-06.661;N37 ;025.292;+0.293; 2.07; 1.13; 2.73; 1.49; 0.84; 1.77; 0.49;B
279.519;-06.805;N38 ;025.356;-0.145; 0.58; 0.50; 0.78; 0.67; 0.52; 0.63; 0.19;B,m(N39)
279.536;-06.805;N39 ;025.364;-0.160; 1.95; 1.42; 2.71; 1.98; 0.68; 1.99; 0.65;B,MB
279.722;-06.894;N40 ;025.369;-0.365; 1.23; 0.88; 1.67; 1.20; 0.70; 1.23; 0.38;B
279.557;-05.800;N41 ;026.266;+0.282; 0.42; 0.41; 0.63; 0.61; 0.25; 0.52; 0.20;C
279.901;-05.906;N42 ;026.329;-0.071; 0.67; 0.44; 0.84; 0.55; 0.76; 0.61; 0.14;C
279.874;-05.591;N43 ;026.597;+0.098; 0.61; 0.50; 0.83; 0.68; 0.58; 0.65; 0.21;C
279.724;-05.261;N44 ;026.821;+0.382; 1.10; 0.92; 1.36; 1.14; 0.55; 1.13; 0.24;C
280.190;-05.310;N45 ;026.991;-0.053; 1.53; 0.95; 2.21; 1.37; 0.78; 1.47; 0.53;C
280.388;-05.052;N46 ;027.310;-0.110; 1.19; 1.10; 1.69; 1.56; 0.38; 1.38; 0.48;B
280.645;-04.380;N47 ;028.025;-0.031; 2.40; 1.64; 3.02; 2.06; 0.73; 2.24; 0.51;B
280.617;-04.031;N48 ;028.322;+0.154; 0.87; 0.81; 1.18; 1.10; 0.35; 0.99; 0.30;B
281.189;-03.757;N49 ;028.827;-0.229; 1.32; 1.02; 1.68; 1.30; 0.63; 1.32; 0.32;C
280.978;-03.454;N50 ;029.001;+0.097; 1.59; 1.41; 2.03; 1.80; 0.46; 1.70; 0.41;B
281.370;-03.478;N51 ;029.158;-0.262; 1.78; 1.72; 2.21; 2.14; 0.25; 1.96; 0.42;C
281.881;-01.951;N52 ;030.749;-0.019; 2.22; 1.35; 3.01; 1.84; 0.79; 2.04; 0.62;C
282.179;-01.646;N53 ;031.157;-0.145; 0.74; 0.73; 0.94; 0.93; 0.15; 0.84; 0.20;C
281.793;-01.440;N54 ;031.164;+0.292; 1.88; 1.34; 2.33; 1.67; 0.70; 1.78; 0.38;B
282.398;-00.701;N55 ;032.098;+0.091; 0.77; 0.58; 1.07; 0.80; 0.67; 0.79; 0.26;C
282.699;-00.310;N56 ;032.583;+0.002; 0.99; 0.97; 1.27; 1.25; 0.19; 1.12; 0.28;C
282.916;-00.219;N57 ;032.763;-0.150; 0.31; 0.25; 0.39; 0.32; 0.57; 0.32; 0.07;B
282.850;+00.070;N58 ;032.990;+0.040; 0.17; 0.13; 0.29; 0.23; 0.62; 0.20; 0.11;C
282.990;+00.090;N59 ;033.071;-0.075; 7.03; 5.12; 8.62; 6.28; 0.68; 6.68; 1.36;C
283.395;+00.717;N60 ;033.814;-0.150; 0.64; 0.48; 0.87; 0.65; 0.66; 0.65; 0.20;C
283.294;+01.154;N61 ;034.157;+0.140; 3.28; 3.13; 3.86; 3.68; 0.30; 3.49; 0.57;B
283.307;+01.346;N62 ;034.334;+0.216; 1.41; 1.31; 1.75; 1.62; 0.38; 1.52; 0.33;B
284.011;+01.343;N63 ;034.652;-0.412;11.89; 8.69;16.42;12.01; 0.68;12.10; 3.88;SNR
284.289;+01.322;N64 ;034.760;-0.669; 5.08; 3.65; 6.25; 4.49; 0.69; 4.80; 0.99;B
283.507;+01.992;N65 ;035.000;+0.332; 2.02; 1.76; 2.59; 2.26; 0.49; 2.15; 0.54;C
283.815;+02.125;N66 ;035.259;+0.119; 0.46; 0.37; 0.60; 0.47; 0.62; 0.47; 0.12;C
284.041;+02.329;N67 ;035.543;+0.011; 0.75; 0.69; 1.02; 0.94; 0.38; 0.85; 0.26;C
284.157;+02.394;N68 ;035.654;-0.062; 5.17; 3.59; 6.06; 4.21; 0.72; 4.68; 0.74;C,CC
283.768;+03.192;N69 ;036.187;+0.648; 8.42; 8.42;10.18;10.18; 0.00; 9.30; 1.76;B
285.161;+04.237;N70 ;037.751;-0.112; 0.50; 0.44; 0.71; 0.63; 0.46; 0.57; 0.20;C
285.302;+04.770;N71 ;038.290;+0.007; 7.08; 6.01; 9.36; 7.95; 0.53; 7.57; 2.10;B
285.455;+04.761;N72 ;038.352;-0.133; 0.92; 0.86; 1.14; 1.06; 0.36; 1.00; 0.21;B
