C.D.S.  -  SIMBAD4 rel 1.113  -  2009.03.16EDT22:07:53

Objects in reference 1989ApJS...69..831W
----------------------------------------

1989ApJS...69..831W

Astrophys. J., Suppl. Ser., 69, 831-895 (1989)
The morphologies and physical properties of ultracompact HII regions.
WOOD D.O.S. and CHURCHWELL E.

-Flags: Tables 4, 14: <[WC89] LLL.ll+B.bb> N=52. Table 14: <[WC89] LLL.ll+B.bbA> N=17

Number of objects : 106

 # ;       identifier        ;typ;  coord1 (Gal,2000/2000)   ;  spec. type   ;#bib;#not
---;-------------------------;---;---------------------------;---------------;----;----
1  ;NAME MON R2              ;HII;213.7031 -12.6019          ;B...           ; 406;   2
2  ;Ass Mon R 2-             ;As*;213.7044 -12.5970          ;~              ;  41;   1
3  ;GRS 005.48 -00.24        ;HII;005.4770 -00.2431          ;~              ;  26;   0
4  ;GAL 005.48-00.24         ;HII;005.4747 -00.2448          ;~              ;  16;   0
5  ;GAL 005.88-00.41         ;HII;005.8855 -00.3921          ;O6.5           ; 164;   0
6  ;GRS 006.57 -00.10        ;HII;006.5530 -00.0951          ;~              ;  20;   0
7  ;W 28A1                   ;HII;006.5515 -00.0978          ;~              ;   5;   0
8  ;GAL 008.14+00.23         ;HII;008.1391 +00.2279          ;~              ;  23;   0
9  ;[WC89] 008.14+0.23       ;HII;008.1388 +00.2255          ;~              ;   9;   0
10 ;GAL 005.97-01.17         ;HII;005.9707 -01.1745          ;~              ;  21;   0
11 ;IRAS 18006-2422          ;HII;005.9812 -01.1912          ;~              ;  19;   0
12 ;NGC 6537                 ;PN ;010.0989 +00.7394          ;A0             ; 326;   0
13 ;GAL 008.67-00.30         ;HII;008.6693 -00.3560          ;~              ;  44;   0
14 ;GAL 010.46+00.03         ;HII;010.4625 +00.0340          ;~              ;  40;   0
15 ;[WC89] 010.47+0.03A      ;HII;010.4723 +00.0276          ;~              ;   6;   0
16 ;[WC89] 010.47+0.03B      ;HII;010.4722 +00.0274          ;~              ;   4;   0
17 ;[GRM93] G10.46+0.03 A    ;HII;010.4724 +00.0274          ;~              ;   5;   0
18 ;[WC89] 010.47+0.03C      ;HII;010.4736 +00.0276          ;~              ;   6;   0
19 ;GAL 010.47+00.03         ;HII;010.4722 +00.0264          ;~              ;  64;   0
20 ;GAL 010.30-00.15         ;HII;010.3013 -00.1476          ;~              ;  29;   0
21 ;GAL 010.32-00.16         ;HII;010.3148 -00.1500          ;~              ;  40;   0
22 ;GAL 010.2-00.3           ;HII;010.1615 -00.3546          ;~              ;  35;   0
23 ;GAL 010.61-00.37         ;HII;010.6076 -00.3693          ;~              ;   1;   0
24 ;GAL 010.61-00.36         ;HII;010.6143 -00.3757          ;~              ;   1;   0
25 ;GAL 010.60-00.40         ;HII;010.6258 -00.3830          ;~              ;  52;   0
26 ;GAL 012.21-00.10         ;HII;012.2081 -00.1019          ;~              ;  26;   0
27 ;[WC89] 012.43-0.05       ;HII;012.4295 -00.0479          ;~              ;   5;   0
28 ;IRAS 18099-1810          ;IR ;012.4477 -00.0394          ;~              ;   5;   0
29 ;F3R 399                  ;HII;011.9370 -00.6160          ;~              ;  54;   0
30 ;IRAS 18174-1612          ;HII;015.0329 -00.6770          ;~              ;  26;   0
31 ;GAL 015.04-00.68         ;HII;015.0345 -00.6771          ;~              ;  17;   1
32 ;[WC89] 019.07-0.27       ;HII;019.0715 -00.2796          ;~              ;   4;   0
33 ;GAL 019.07-00.28         ;HII;019.0711 -00.2826          ;~              ;  22;   0
34 ;DRT03 G19.61-0.23 2      ;HII;019.6090 -00.2313          ;~              ;   7;   0
35 ;GAL 019.60-00.23         ;HII;019.6085 -00.2332          ;~              ;   9;   0
36 ;Caswell OH 019.61-00.23  ;Mas;019.6112 -00.2322          ;~              ;  22;   0
37 ;GAL 019.61-00.23         ;HII;019.6079 -00.2349          ;~              ;  82;   0
38 ;[FCT2005] C              ;HII;019.6096 -00.2340          ;~              ;   4;   0
39 ;[WC89] 020.08-0.14A      ;HII;020.0807 -00.1355          ;~              ;   2;   0
40 ;IRAS 18253-1130          ;HII;020.0821 -00.1360          ;~              ;  31;   0
41 ;GAL 023.71+00.17         ;HII;023.7045 +00.1720          ;~              ;  25;   0
42 ;IRAS 18311-0809          ;HII;023.7079 +00.1691          ;~              ;  20;   0
43 ;GAL 023.96+00.15         ;HII;023.9545 +00.1511          ;O8             ;  59;   0
44 ;GAL 023.44-00.18         ;HII;023.4336 -00.2061          ;~              ;  25;   0
45 ;GAL 023.46-00.20         ;HII;023.4552 -00.2010          ;~              ;   9;   0
46 ;GAL 025.72+00.05         ;HII;025.7157 +00.0487          ;~              ;  12;   0
47 ;IRAS 18353-0628          ;HII;025.6948 +00.0281          ;~              ;  15;   0
48 ;GAL 027.28+00.15         ;HII;027.2768 +00.1485          ;~              ;  21;   0
49 ;SNR G027.3+00.1          ;SNR;027.2802 +00.1442          ;~              ;  18;   0
50 ;GAL 029.96-00.02         ;HII;029.9558 -00.0167          ;~              ; 212;   0
51 ;[WC89] 030.54+0.02B      ;HII;030.5345 +00.0221          ;~              ;   1;   0
52 ;GAL 030.54+00.02         ;HII;030.5327 +00.0210          ;~              ;   9;   0
53 ;IRAS 18443-0210          ;HII;030.5361 +00.0181          ;~              ;  13;   0
54 ;GAL 031.41+00.31         ;HII;031.4131 +00.3063          ;~              ; 115;   0
55 ;GAL 033.50+00.20         ;HII;033.4979 +00.1943          ;~              ;  19;   0
56 ;[KB94] 22                ;HII;033.9140 +00.1112          ;O7             ;  59;   0
57 ;GAL 034.3+00.2           ;HII;034.2572 +00.1535          ;~              ; 301;   0
58 ;[WC89] 034.26+0.15C      ;HII;034.2580 +00.1533          ;~              ;   3;   0
59 ;[RH85] B                 ;HII;034.2571 +00.1526          ;~              ;  19;   0
60 ;IRAS 18545+0134          ;Y*O;035.0448 -00.5102          ;~              ;  14;   0
61 ;GAL 035.05-00.52         ;HII;035.0525 -00.5177          ;~              ;  17;   0
62 ;GAL 037.55-00.11         ;HII;037.5447 -00.1110          ;~              ;  30;   0
63 ;[WC89] 035.20-1.74       ;HII;035.2000 -01.7407          ;~              ;  11;   0
